1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
66205.20977,66994.97007,66041.14543,65854.63817,65300.51516,64859.9404,65380.71015,64644.50157,64967.72408,64644.50157,64087.79291,64030.92233,63535.90559,63231.38825,63749.71722,63749.1929
62806.63719,63487.60838,63210.12542,63370.96247,63399.52645,64569.03408,65384.75453,65708.96724,66897.43001,66231.78395,66897.43001,68405.09946,67878.13671,68721.707,68715.80997,68601.85805
67900.59877,66521.17766,66178.86436,65599.16973,65107.67787,65071.7199,64502.69751,64298.58085,63825.49922,62168.85272,61889.0707,61889.0707,60787.79862,58874.03744,58046.19057,56400.44753
56404.2075,56374.92762,57020.79781,57991.54731,58483.74435,59928.3267,59665.80751,60671.11167,60814.40181,61314.95923,61657.84048,62534.10658,63566.88486,64534.92016,64970.8073,65716.56974
67291.78802,67769.51463,69312.548,69355.80593,68453.51395,68011.17254,67636.52914,68330.75143,69048.03099,69500.70228,69455.55445,70034.41986,70188.82101,70188.82101,69622.54737,70011.7275
69127.81362,70453.33079,70085.8756,70116.22639,70120.24728,69648.28374,69920.21095,68460.45748,68263.12476,68322.99765,67716.57414,66860.54642,65911.34597,65852.18422,64351.80214,63801.06299
63257.24293,64852.00616,64886.1632,64555.24921,63358.45822,64041.278,63703.89573,63441.19118,63008.50434,62335.05398,62252.25677,61583.97178,61974.80622,62017.35075,61833.3724,61630.9879
60841.01434,61348.16656,61833.64159,61031.77416,61744.01441,62560.49407,62958.3603,63380.50229,63952.05729,65243.09795,65136.35933,64653.89782,64165.09097,63925.08968,63600.10543,63485.2618
60818.76361,59436.26181,58801.39817,58693.53854,58322.8447,57619.69045,57828.37112,57040.43372,55876.18265,56512.64864,55494.54407,54622.60039,53445.60836,53015.55166,51307.67695,49986.73744
49742.74059,51025.5751,51695.81564,51958.72293,52560.9474,52659.92768,53174.84132,53226.66537,53784.51257,54617.56067,55078.23813,55534.72702,56235.39953,57079.18484,57699.58496,59206.45758
60216.85282,59617.68016,62391.77282,63560.95287,62675.36496,63262.24886,64338.01102,64338.45348,65283.20652,64956.96251,65824.27091,66143.46466,65987.68396,66532.07778,65855.98341,66054.0182
66066.58346,66391.02583,66235.66933,66050.00357,65939.29436,65779.43643,64320.00806,63528.13016,63148.152,63437.70501,63114.28832,62269.66541,61644.74531,61515.98992,60969.70316,60397.76824
60745.24107,60991.29854,61234.95879,59659.47562,60641.15133,60317.97101,59900.58236,59663.46359,59331.43273,59234.29047,59639.00535,58706.22475,58630.65928,58921.79726,58156.04055,58215.04798
58436.41717,57836.83409,58376.63816,58198.39445,58484.48592,59704.26716,60104.60448,60685.4897,63131.77669,63948.79169,64048.85449,63869.63979,65178.01992,65492.53338,66106.74455,66749.0682
65673.89083,66281.35481,67058.7112,67182.15348,67359.44333,67716.16346,67939.18513,67456.32627,67977.74793,67855.16024,67635.24949,67646.76027,67566.5716,67548.76159,66409.98861,65597.44033
66030.92532,67102.60099,68519.74344,69234.61414,69131.62005,70078.916,70652.74214,70066.02512,70066.02512,70264.36864,71198.7442,71359.95684,71025.96266,71111.47409,71258.17217,71622.37227
71626.83823,72786.11804,73241.72395,72267.54988,72203.01515,69155.0494,69360.82162,68751.64193,69423.00619,69750.5941,70370.16328,70530.18202,69988.57451,68891.81729,69848.81606,69234.31276
68279.25893,68432.17378,67534.82551,67759.33222,67538.08686,67267.15056,66969.86873,66216.71756,65434.15944,65106.98864,64814.15034,64423.71724,63550.73541,62790.78121,62105.73908,60914.11259
