1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Cluster
46662.12957,46796.83213,46657.42499,46848.01884,47277.79407,47823.75802,47956.32969,48518.92688,48669.36879,48542.00294,48676.72061,48157.20219,48199.76535,48131.64578,47265.53526,46858.36919,1
49072.38325,48883.17492,49006.62142,48812.61799,48317.76252,48171.96113,47601.18132,47031.56448,46858.12184,46614.98148,46760.66679,46711.23229,46408.41637,46523.79648,46651.70394,46446.11746,1
43159.06507,43753.39527,44729.80047,45238.53574,45516.15546,45676.68995,46229.78896,47082.71205,47381.65808,47510.13358,47668.70342,48138.57986,49171.4559,50283.4203,50973.36126,52118.44525,1
45324.76535,45584.76594,46056.00648,46056.00648,43465.00486,47733.71767,48027.24576,48340.57852,48854.25534,49529.34518,50085.47364,50638.86998,51222.37831,52169.49516,53332.06558,54140.20803,1
38264.13871,38150.67966,37948.42739,38247.87985,38040.21962,38292.84954,38388.99217,38552.38686,38806.44156,39500.05938,39974.01342,40882.97945,41594.18035,42225.14632,43558.1422,44634.9992,1
43750.93504,41666.5552,41258.9944,40619.11459,40982.57281,40433.15318,40069.29284,39710.97561,39796.94924,39669.39448,39351.66458,39055.29182,38687.63999,38671.00071,38170.03907,37792.11754,1
45153.43273,44383.12449,44518.93402,44461.87799,44558.48065,44555.94848,44250.48372,44238.03451,44325.70728,44438.52141,44785.36918,44510.27954,44227.80024,44071.26696,43616.41611,43616.41611,1
61206.71031,61200.94846,61109.71738,61239.47287,61540.72624,62398.83262,62695.90553,63079.27931,63670.52286,63498.63249,63953.9145,63642.30345,64481.49465,64652.68832,65045.99938,64609.49522,2
57325.84397,58058.72478,58300.89244,59129.904,60159.63921,60799.34888,61280.56267,61739.2393,62600.89432,63402.83022,64031.65007,64731.20776,65666.20622,66724.49183,67662.30769,67821.1091,2
61431.59284,61259.80901,61403.49931,61026.86282,61357.02799,60898.82479,60999.06118,61101.7173,58409.4501,52976.28899,60875.27897,60137.77431,58642.8591,57084.31451,55426.40482,54682.19493,2
60660.25163,61297.54295,61622.35489,61408.6687,60796.12205,60796.12205,60262.70867,59807.60949,59574.11429,59149.29185,58769.39505,58644.4845,58425.31412,57927.42489,57953.99806,57786.4934,2
60929.3546,61978.38626,61947.61868,61618.86783,61385.38494,61293.96092,60949.67741,60590.81635,60590.81635,60590.81635,60177.4292,59879.73167,59589.03831,59401.86276,59440.98135,59406.23148,2
59177.437,59028.82919,59146.86567,59587.99359,59669.95598,60034.36473,60874.94221,61963.91468,61963.91468,61963.91468,64932.01066,64597.90408,64298.75735,64169.80514,64057.21871,64334.20404,2
51897.32005,52800.00503,53051.51072,54031.6642,54578.83373,54944.60588,55413.85184,55898.66624,56293.1306,56593.62991,56912.51383,57256.48026,57931.88942,59128.43671,59704.15036,60577.19164,2
61282.36355,59013.6356,58761.31266,58320.0889,58055.11198,57830.27675,57341.99616,57124.70136,57095.52117,57706.52666,57437.99585,56985.5347,55969.65273,54655.76483,53452.62132,51988.53521,2
60960.14305,60943.49608,60745.30527,60846.06552,54646.93146,61353.22072,61903.61039,62701.00962,62972.8581,63403.8005,63331.25112,63109.24757,62636.68853,62768.06178,62100.32946,62445.85457,2
61781.67321,62696.49258,62372.64749,62345.50808,61995.49977,61461.70847,60993.97939,60600.89499,60074.28538,59841.86701,59704.57944,59199.20835,59068.9442,58884.04331,58884.04331,58884.04331,2
61912.14668,63017.4286,63537.72184,63194.86421,62401.82342,62144.32924,62010.82748,61336.30884,61353.00893,61386.94633,61386.94633,60478.56158,60215.50361,60088.71421,60153.26367,60114.72952,2
59708.08394,60087.89939,60208.17062,60696.3015,61173.22012,61820.77881,62997.83225,63810.99652,64278.47844,64817.66408,64815.99681,64583.98684,64417.10773,64794.08291,64815.51214,65435.62775,2
55242.69536,55885.01874,56939.49312,57552.93718,58437.25034,58953.06469,59168.34863,59729.55719,60061.3008,60531.36389,60978.31924,61834.74277,62375.65957,63510.41951,64712.49079,65503.35975,2
64275.84776,63974.9202,63848.14046,63327.88882,63028.59466,62984.49407,62644.32347,62288.52877,61865.551,61843.12962,60932.81761,59915.39482,58406.28273,57427.20163,55100.00578,54322.61929,2
58897.76003,58879.71858,59077.13307,59568.24995,60488.3821,61324.4583,61579.82296,61747.96616,62350.29249,62449.46342,62259.14874,62259.14874,63194.59146,63163.62724,63806.50628,63972.33735,2
54965.5822,55511.75572,56231.16302,56640.41954,57721.83845,58117.81097,58339.60587,58573.83349,58970.49321,59097.83706,59097.83706,59453.57154,60262.44062,60668.09917,61394.4549,62231.42433,2
60900.03654,60791.32991,60883.73713,60840.24802,61260.30858,62308.01865,62803.60927,63536.98076,64325.68054,63884.98801,64075.27769,63788.82778,63089.43816,63477.27968,62947.79999,63888.3965,2
59557.76377,58738.16687,58549.35376,58360.8537,57922.51941,57819.9129,57540.04268,57413.81338,57107.06112,57107.06112,56832.36991,56042.2283,54663.70851,53517.60705,52229.71033,51839.19089,2
65724.65261,65331.17331,65321.51728,64950.2493,64586.72378,64609.19482,63847.61026,63012.35756,62555.32317,62347.91609,61768.52827,61064.07067,60483.49676,59782.2038,59291.91413,58573.80411,2
58717.18839,59799.48374,59489.4726,59629.14656,59632.47473,59632.47473,59632.47473,58810.18943,58972.42801,58606.82682,58523.5071,58680.96506,58188.08945,58237.20208,58241.62819,57678.05746,2
57784.1033,57997.61026,57782.48231,58509.86145,58605.32229,59294.24575,59294.24575,61089.87862,61607.60395,62180.78844,62386.44009,62864.09391,63685.82662,64291.20116,66040.91377,67172.33504,2
53961.64396,54128.04747,54583.37892,55795.52776,56569.74537,57415.26858,57499.7257,57763.65427,57845.51415,57708.77665,57878.29629,59033.33709,60262.32865,60706.86044,61489.11925,62423.19105,2
52608.66475,52382.17724,53403.21976,53527.75557,53914.90733,54412.27482,55042.66672,55927.7612,56397.03009,56934.38753,57505.32889,58118.91408,58383.90395,59418.08845,60336.11246,61787.39932,2
54322.18245,54322.18245,54490.12923,54464.27184,54282.13882,53933.49623,53701.53112,53590.94567,53572.10985,53394.17073,53447.98574,53112.17381,52752.26212,52451.39351,52647.93292,52841.83318,2
57911.72307,57561.41294,57566.31734,57656.73601,57251.22132,57444.00151,57123.39907,56674.0591,56191.63512,56314.89261,56442.2248,55989.99438,55466.65105,54878.90052,54322.18245,54322.18245,2
63611.1867,60164.26559,59932.44492,60005.72263,59607.13919,59673.15957,59541.41578,59565.27431,59242.72045,59025.49848,58764.40773,58223.5877,56925.39845,56128.61771,55162.31319,54410.92449,2
54343.94699,55570.8762,55734.39587,56493.285,56515.57916,57038.06775,57756.78238,58154.96386,58231.02639,58741.34724,59486.30538,60135.27425,60991.66247,61806.78642,63034.50662,64298.1695,2
52964.01029,54377.61779,55196.58541,56083.40248,56526.60426,56093.71687,56197.08779,56617.23687,56650.50784,57065.78062,57313.28826,57703.43371,58404.39716,58426.28469,58387.58977,57039.9382,2
56167.11744,57069.13081,57433.00474,58844.85432,59130.71458,59881.01542,60252.6779,61223.50321,61583.65305,62171.31469,62540.46534,62986.86676,63748.49968,65106.15546,65810.9753,67033.25906,2
56903.61001,57720.42895,58314.97192,59113.0892,59583.36556,60246.04346,60660.60793,60229.84897,60912.95872,61352.27076,61740.85376,62314.69306,63215.66863,63801.93274,64861.52807,65645.30567,2
58130.69464,57781.96309,58997.752,59666.4952,60161.76767,61028.52244,61525.76768,61702.25175,61842.43707,62583.90136,63038.95821,63299.2785,64368.72533,65099.09975,66138.12069,67072.52057,2
62238.67658,62977.18851,63040.54705,62382.94982,62024.79827,61747.2551,61546.1965,61194.51185,60865.16251,60537.99938,60667.17941,60585.91223,60659.79664,60446.79576,60534.04239,60667.66394,2
56405.25924,57125.48918,57575.17954,58806.58014,59871.25982,60062.53583,61828.18089,62303.94288,62700.24846,63173.27135,63702.7351,64094.86188,64893.63024,65835.57886,66502.18045,67572.94644,2
50568.20896,58252.42824,59335.17461,60705.02228,61266.97623,62768.11373,63226.89765,63142.34037,63247.94494,62798.31158,63236.74186,63455.21577,64487.52595,65289.64373,66144.70511,67235.20094,2
57893.11151,59059.09317,59349.01128,60000.90375,60563.39442,61874.49829,62141.3222,62501.66407,62841.58927,62736.15536,63918.12047,64226.64651,65125.47835,66020.02031,66981.32182,67280.22573,2
53957.31829,54457.29818,54924.92281,55458.80187,55951.99965,56870.41874,57589.97152,57472.31503,58065.02512,58626.17692,59422.83661,59704.111,60554.27323,61407.00485,62291.2451,63368.44681,2
60322.52455,60342.60835,60504.03247,60798.84528,61607.94983,62448.768,63493.79573,64017.89853,64314.44769,64251.18058,64238.69471,64342.55013,64449.48729,64363.62408,64805.46787,64804.82311,2
58744.98564,59165.61045,59523.3499,59396.92598,60173.27,60566.38336,61269.14357,62518.78995,63112.97148,63797.55042,63709.73866,63807.40108,63516.72842,63965.8502,64406.18709,64930.85128,2
60935.68724,61972.60247,62256.99533,62172.29615,61975.56653,61905.97116,61871.78933,61476.23247,61190.85608,61081.98766,60796.2565,60974.47723,60743.57867,60498.6892,60668.68608,60447.25863,2
64605.41392,64506.48796,64538.64226,64704.70224,64704.70224,64197.79055,63483.31046,63483.31046,63255.39927,63062.24342,62750.91454,62109.55995,60505.72213,59590.03151,57981.7194,57502.36576,2
57653.8743,58747.84401,59330.48779,60637.22035,61237.25167,62042.40101,62155.09778,62750.02223,63110.52066,63804.21484,64765.03149,65200.23748,66146.50551,65976.00072,66907.05524,67696.48922,2
