index,time,scenario,value
1,0:00,1,9652.32
2,0:15,1,9444.525
3,0:30,1,9501.755
4,0:45,1,9444.812
5,1:00,1,9281.575
6,1:15,1,9289.926
7,1:30,1,9241.851
8,1:45,1,9182.231
9,2:00,1,8666.965
10,2:15,1,8174.6396
11,2:30,1,7981.6113
12,2:45,1,7737.289
13,3:00,1,7318.5156
14,3:15,1,7238.9766
15,3:30,1,7359.2046
16,3:45,1,7679.455
17,0:00,2,9753.553
18,0:15,2,9368.217
19,0:30,2,9410.297
20,0:45,2,9242.92
21,1:00,2,8833.763
22,1:15,2,8726.293
23,1:30,2,8758.771
24,1:45,2,8915.748
25,2:00,2,8553.174
26,2:15,2,8127.4277
27,2:30,2,7938.4077
28,2:45,2,7823.0938
29,3:00,2,7665.5674
30,3:15,2,7426.0894
31,3:30,2,7502.9634
32,3:45,2,7553.7847
33,0:00,3,9701.537
34,0:15,3,9338.324
35,0:30,3,9506.787
36,0:45,3,9433.441
37,1:00,3,9324.024
38,1:15,3,9259.124
39,1:30,3,9080.124
40,1:45,3,8993.7
41,2:00,3,8477.492
42,2:15,3,8132.2144
43,2:30,3,7895.493
44,2:45,3,7687.4634
45,3:00,3,7492.2866
46,3:15,3,7557.0825
47,3:30,3,7567.533
48,3:45,3,7707.5146
49,0:00,4,9775.714
50,0:15,4,9467.271
51,0:30,4,9524.132
52,0:45,4,9465.332
53,1:00,4,9079.688
54,1:15,4,8834.681
55,1:30,4,8912.188
56,1:45,4,9060.305
57,2:00,4,8509.219
58,2:15,4,8138.2676
59,2:30,4,7901.1045
60,2:45,4,7631.9272
61,3:00,4,7299.3955
62,3:15,4,7162.925
63,3:30,4,7287.995
64,3:45,4,7534.2417
65,0:00,5,9740.639
66,0:15,5,9481.559
67,0:30,5,9607.629
68,0:45,5,9555.419
69,1:00,5,9195.881
70,1:15,5,9109.09
71,1:30,5,9117.495
72,1:45,5,8981.143
73,2:00,5,8398.362
74,2:15,5,7855.9585
75,2:30,5,7824.0244
76,2:45,5,7821.469
77,3:00,5,7447.714
78,3:15,5,7274.473
79,3:30,5,7409.86
80,3:45,5,7473.1836
81,0:00,6,9673.38
82,0:15,6,9411.805
83,0:30,6,9508.939
84,0:45,6,9360.21
85,1:00,6,9029.733
86,1:15,6,9071.631
87,1:30,6,9274.432
88,1:45,6,9247.207
89,2:00,6,8721.338
90,2:15,6,8297.028
91,2:30,6,8019.2056
92,2:45,6,7746.1353
93,3:00,6,7487.2827
94,3:15,6,7482.9272
95,3:30,6,7605.331
96,3:45,6,7716.3945
97,0:00,7,9762.41
98,0:15,7,9437.143
99,0:30,7,9525.425
100,0:45,7,9418.398
101,1:00,7,9224.357
102,1:15,7,9225.436
103,1:30,7,9046.531
104,1:45,7,9080.201
105,2:00,7,8603.547
106,2:15,7,8028.006
107,2:30,7,7693.3022
108,2:45,7,7512.4336
109,3:00,7,7376.5244
110,3:15,7,7257.1377
111,3:30,7,7357.8296
112,3:45,7,7643.799
113,0:00,8,9745.908
114,0:15,8,9420.135
115,0:30,8,9442.873
116,0:45,8,9473.931
117,1:00,8,9170.601
118,1:15,8,9165.805
119,1:30,8,9345.295
120,1:45,8,9286.311
121,2:00,8,8744.201
122,2:15,8,8295.497
123,2:30,8,7920.8574
124,2:45,8,7620.9834
125,3:00,8,7383.344
126,3:15,8,7290.8247
127,3:30,8,7432.602
128,3:45,8,7673.367
129,0:00,9,9751.197
130,0:15,9,9375.139
131,0:30,9,9274.527
132,0:45,9,9219.756
133,1:00,9,8999.332
134,1:15,9,8984.397
135,1:30,9,9137.346
136,1:45,9,9037.326
137,2:00,9,8411.2705
138,2:15,9,8191.1353
139,2:30,9,7988.074
140,2:45,9,7846.626
141,3:00,9,7557.914
142,3:15,9,7441.395
143,3:30,9,7476.4814
144,3:45,9,7650.8423
