allbus_p,allbus_forecast_p
65875.83062,66205.20977
66661.66176,66994.97007
66373.01048,66041.14543
66185.566,65854.63817
65628.65845,65300.51516
65185.86975,64859.9404
65055.43299,65380.71015
64644.50157,64644.50157
64644.50157,64967.72408
64644.50157,64644.50157
64087.79291,64087.79291
64030.92233,64030.92233
63535.90559,63535.90559
63549.13392,63231.38825
63432.55445,63749.71722
63432.03274,63749.1929
63122.24843,62806.63719
63171.74963,63487.60838
63527.76424,63210.12542
63370.96247,63370.96247
63399.52645,63399.52645
64247.7951,64569.03408
65059.45724,65384.75453
65708.96724,65708.96724
66564.60698,66897.43001
66564.60698,66231.78395
66564.60698,66897.43001
68405.09946,68405.09946
68219.23287,67878.13671
68379.80796,68721.707
68373.94027,68715.80997
68946.59101,68601.85805
67562.78485,67900.59877
66190.22653,66521.17766
65849.61628,66178.86436
65599.16973,65599.16973
65434.85213,65107.67787
64747.98,65071.7199
64181.78857,64502.69751
63978.68741,64298.58085
63507.95942,63825.49922
62481.25902,62168.85272
62200.07106,61889.0707
62200.07106,61889.0707
60787.79862,60787.79862
59169.88687,58874.03744
57757.40355,58046.19057
56400.44753,56400.44753
56123.58955,56404.2075
56658.21871,56374.92762
57020.79781,57020.79781
58282.96212,57991.54731
58483.74435,58483.74435
59630.17582,59928.3267
59965.63569,59665.80751
60671.11167,60671.11167
61120.00182,60814.40181
61314.95923,61314.95923
61967.67887,61657.84048
62848.34832,62534.10658
63566.88486,63566.88486
64213.85091,64534.92016
64970.8073,64970.8073
66046.80376,65716.56974
66957.003,67291.78802
68110.06495,67769.51463
68967.70945,69312.548
69355.80593,69355.80593
68797.50146,68453.51395
67672.8085,68011.17254
67976.4112,67636.52914
68674.12204,68330.75143
69048.03099,69048.03099
69154.92764,69500.70228
69804.57734,69455.55445
70386.35162,70034.41986
70541.52865,70188.82101
70541.52865,70188.82101
69972.40942,69622.54737
70011.7275,70011.7275
69475.18957,69127.81362
70102.81671,70453.33079
69737.18965,70085.8756
69767.38944,70116.22639
69771.39033,70120.24728
69998.27512,69648.28374
69572.3492,69920.21095
68804.47988,68460.45748
68606.15554,68263.12476
68666.3293,68322.99765
68056.85843,67716.57414
67196.52907,66860.54642
66242.55876,65911.34597
65852.18422,65852.18422
64675.17803,64351.80214
64121.67135,63801.06299
63575.11852,63257.24293
64529.35936,64852.00616
64563.34647,64886.1632
64234.07882,64555.24921
63676.84243,63358.45822
63722.66468,64041.278
63386.96093,63703.89573
63125.56336,63441.19118
63008.50434,63008.50434
62648.29546,62335.05398
62252.25677,62252.25677
61893.43897,61583.97178
61974.80622,61974.80622
61708.80672,62017.35075
61525.74368,61833.3724
61324.36607,61630.9879
61146.74808,60841.01434
61348.16656,61348.16656
61526.01153,61833.64159
61338.46649,61031.77416
61744.01441,61744.01441
62249.24783,62560.49407
62958.3603,62958.3603
63380.50229,63380.50229
64273.42441,63952.05729
64918.50542,65243.09795
64812.29784,65136.35933
64653.89782,64653.89782
64165.09097,64165.09097
63925.08968,63925.08968
63600.10543,63600.10543
63485.2618,63485.2618
60516.1827,60818.76361
59140.55901,59436.26181
58801.39817,58801.39817
58401.53089,58693.53854
58032.68129,58322.8447
57909.23663,57619.69045
57540.66778,57828.37112
56756.65047,57040.43372
56156.96749,55876.18265
56231.49118,56512.64864
55494.54407,55494.54407
54897.08582,54622.60039
53714.17926,53445.60836
53015.55166,53015.55166
51052.41488,51307.67695
50237.92708,49986.73744
49992.70411,49742.74059
51025.5751,51025.5751
51438.62253,51695.81564
52219.82204,51958.72293
52299.45015,52560.9474
52924.55043,52659.92768
53174.84132,53174.84132
53226.66537,53226.66537
53516.92793,53784.51257
54345.83151,54617.56067
54804.21704,55078.23813
55258.43485,55534.72702
56235.39953,56235.39953
56795.2088,57079.18484
57989.53262,57699.58496
58911.89809,59206.45758
59917.26649,60216.85282
59917.26649,59617.68016
62391.77282,62391.77282
63244.72922,63560.95287
62675.36496,62675.36496
63580.14961,63262.24886
64017.92141,64338.01102
64661.76229,64338.45348
64958.41445,65283.20652
65283.37941,64956.96251
65824.27091,65824.27091
66475.84388,66143.46466
66319.28036,65987.68396
66201.07242,66532.07778
66186.918,65855.98341
66054.0182,66054.0182
66066.58346,66066.58346
66060.72222,66391.02583
65906.13864,66235.66933
65721.39659,66050.00357
65611.23817,65939.29436
65452.17555,65779.43643
64320.00806,64320.00806
63528.13016,63528.13016
63465.4794,63148.152
63437.70501,63437.70501
63114.28832,63114.28832
62269.66541,62269.66541
61954.5179,61644.74531
61209.94022,61515.98992
60666.3713,60969.70316
60097.28183,60397.76824
60745.24107,60745.24107
61297.78748,60991.29854
61234.95879,61234.95879
59959.27198,59659.47562
60641.15133,60641.15133
60317.97101,60317.97101
59602.56951,59900.58236
59663.46359,59663.46359
59629.58063,59331.43273
59531.95022,59234.29047
59342.29388,59639.00535
58706.22475,58706.22475
58630.65928,58630.65928
58628.65399,58921.79726
58156.04055,58156.04055
58215.04798,58215.04798
58145.68873,58436.41717
57836.83409,57836.83409
58086.20712,58376.63816
58490.84869,58198.39445
58484.48592,58484.48592
59407.231,59704.26716
60104.60448,60104.60448
60990.44191,60685.4897
62817.68825,63131.77669
63630.6385,63948.79169
64048.85449,64048.85449
64190.59275,63869.63979
64853.75116,65178.01992
65492.53338,65492.53338
66438.93925,66106.74455
66749.0682,66749.0682
65673.89083,65673.89083
66281.35481,66281.35481
66725.08577,67058.7112
67182.15348,67182.15348
67359.44333,67359.44333
67716.16346,67716.16346
67601.17923,67939.18513
67795.30278,67456.32627
67977.74793,67977.74793
68196.14094,67855.16024
67975.12512,67635.24949
67646.76027,67646.76027
67230.4195,67566.5716
67212.6981,67548.76159
66079.59066,66409.98861
65597.44033,65597.44033
66362.73902,66030.92532
67439.79999,67102.60099
68519.74344,68519.74344
68890.16332,69234.61414
69479.01513,69131.62005
70078.916,70078.916
70301.23596,70652.74214
70418.1157,70066.02512
70418.1157,70066.02512
70617.45592,70264.36864
70844.52159,71198.7442
71004.93218,71359.95684
70672.59966,71025.96266
70757.68566,71111.47409
71258.17217,71258.17217
71622.37227,71622.37227
71986.77209,71626.83823
72423.99805,72786.11804
72877.33726,73241.72395
72630.7034,72267.54988
71843.79617,72203.01515
69155.0494,69155.0494
69360.82162,69360.82162
69097.12757,68751.64193
69423.00619,69423.00619
69750.5941,69750.5941
70020.06297,70370.16328
70179.28559,70530.18202
69640.37265,69988.57451
69238.00733,68891.81729
69501.30951,69848.81606
69234.31276,69234.31276
68622.37078,68279.25893
68432.17378,68432.17378
67874.19649,67534.82551
67759.33222,67759.33222
67202.07648,67538.08686
67267.15056,67267.15056
66969.86873,66969.86873
65887.28115,66216.71756
65434.15944,65434.15944
65434.15944,65106.98864
64814.15034,64814.15034
64103.20123,64423.71724
63234.5626,63550.73541
62478.38926,62790.78121
61796.7553,62105.73908
61220.21366,60914.11259
60935.68724,60935.68724
61972.60247,61662.73946
62256.99533,62256.99533
62172.29615,61861.43467
61975.56653,62285.44436
61905.97116,61905.97116
61871.78933,61562.43038
61476.23247,61783.61363
61190.85608,60884.9018
61081.98766,61387.3976
60796.2565,61100.23778
60974.47723,61279.34962
60743.57867,61047.29656
60498.6892,60196.19575
60668.68608,60668.68608
60447.25863,60749.49492
60404.77272,60102.74886
60347.8558,60046.11652
60695.23195,60695.23195
60714.52996,60410.95731
60857.34558,61161.63231
61445.14647,61752.3722
61803.13066,61803.13066
62534.9471,62534.9471
64040.05832,63719.85803
65505.73098,65505.73098
66564.55894,66231.73615
67333.10256,66996.43705
68190.12788,68190.12788
68995.21367,69340.18974
69927.21808,69927.21808
70737.11168,70383.42612
70562.63571,70915.44889
70869.64031,71223.98851
71521.66301,71164.05469
72006.66,71646.6267
72571.95203,72209.09227
72854.17358,72854.17358
72930.762,73295.41581
73326.30993,72959.67838
73425.38879,73425.38879
73167.45707,72801.61978
72188.44111,72549.38332
72465.41997,72103.09287
71081.9857,70726.57577
70529.75132,70177.10256
69227.95432,68881.81455
67620.0735,67620.0735
67110.7443,66775.19058
68297.73233,68297.73233
69032.34534,69032.34534
69981.10448,69631.19896
70060.85961,69710.55531
70624.02064,70270.90054
70691.8246,71045.28372
70655.96663,70302.6868
71086.20975,70730.7787
71081.83159,71081.83159
70669.54436,70669.54436
70537.27638,70537.27638
71109.75503,70754.20625
71385.32093,71028.39433
71893.9292,72253.39885
72357.76826,71995.97942
72152.93205,71792.16739
72422.58501,72060.47208
73177.23169,73177.23169
72615.56984,72978.64769
70743.92557,71097.6452
69993.61885,70343.58694
69811.74606,69462.68733
69783.21571,69434.29963
69441.63979,69441.63979
69783.18542,69783.18542
69922.00902,70271.61907
69922.00902,69922.00902
69846.64518,70195.87841
69790.65406,70139.60733
68902.30544,68557.79391
68867.1654,68867.1654
68182.81668,67841.9026
67920.94221,68260.54692
67319.45645,67656.05373
67114.25922,67449.83052
66913.37925,66913.37925
66712.88351,66379.31909
66254.18861,65922.91767
65457.91754,65457.91754
65257.50053,64931.21303
65328.26247,65001.62116
64684.13232,65007.55298
64684.13232,65007.55298
62793.56727,62479.59943
61244.74346,61550.96718
60841.12921,60536.92356
60145.8182,60446.54729
59862.44155,59563.12934
60476.72577,60779.1094
60692.84473,60692.84473
60264.33579,59963.01411
59755.52114,59755.52114
59420.65423,59717.7575
58852.9745,58558.70963
58486.50324,58194.07072
58759.01259,58759.01259
58144.35378,58435.07555
58200.17675,58491.17763
58267.94602,57976.60629
58184.13786,57893.21717
58117.34928,58117.34928
58010.51336,57720.46079
57882.40535,57882.40535
57765.57935,57765.57935
57743.24397,57743.24397
57742.10343,57742.10343
57188.63919,57474.58239
57467.27274,57179.93638
57905.91234,57905.91234
58308.96635,58600.51118
58408.76336,58408.76336
59192.99976,59192.99976
60224.03871,60224.03871
60642.3082,60945.51974
60720.86686,61024.47119
60972.83099,60972.83099
60797.05207,60493.06681
60783.28189,61087.1983
59978.52947,59978.52947
57284.87655,57571.30093
56935.50062,56650.82312
56739.36241,57023.05922
57260.6387,57546.94189
57745.6325,57745.6325
57992.00461,57992.00461
57596.59719,57308.6142
57548.31683,57836.05841
57593.11715,57305.15156
58038.37573,57748.18385
57645.22565,57933.45178
57552.58392,57552.58392
56800.84996,56800.84996
56883.36373,56883.36373
55515.87452,55515.87452
54882.257,55156.66829
54592.35953,54592.35953
54890.1822,55164.63311
55237.51575,54961.32817
55202.4022,55202.4022
55511.37975,55511.37975
55785.4927,56064.42016
56059.7136,55779.41503
56184.21734,55903.29625
55973.22428,55693.35816
56157.26327,56157.26327
56410.79656,56410.79656
56552.83953,56835.60373
57237.72984,57237.72984
57999.8411,58289.84031
58567.06852,58567.06852
58751.63761,58457.87942
60387.58063,60387.58063
61093.41933,61398.88643
61693.85981,62002.32911
62282.76777,61971.35393
61820.53985,61511.43715
61756.45128,61756.45128
62017.05787,62327.14316
62303.97033,62615.49018
62818.81018,62818.81018
63415.86073,63732.94003
64007.22043,64007.22043
64407.81734,64085.77825
64419.04673,64419.04673
64523.27466,64845.89103
64910.89175,64910.89175
64710.5794,64387.0265
64632.8448,64956.00902
65075.70492,65401.08344
64383.31992,64061.40332
64310.96175,63989.40694
64198.70811,64519.70165
64025.53091,64025.53091
63118.32411,63433.91573
62072.90243,61762.53792
61716.86,61408.2757
61504.8791,61504.8791
60272.19296,59970.832
59358.09487,59061.3044
58491.94044,58491.94044
57884.92076,57884.92076
57280.25842,57566.65971
56989.83496,57274.78413
57854.86724,57565.5929
58679.28433,58385.88791
58440.17155,58440.17155
58310.14493,58601.69565
58056.7443,58347.02802
57986.95177,58276.88653
57808.5807,57519.5378
57659.54818,57371.25044
57388.86551,57101.92118
56794.52081,56794.52081
56940.81675,57225.52083
56894.13085,56609.6602
56559.21377,56842.00984
56859.06176,56859.06176
56675.97437,56392.5945
56536.00542,56818.68545
56536.00542,56253.32539
56775.35154,57059.2283
57122.93313,57408.5478
57122.93313,56837.31846
57176.88641,56891.00198
57882.19989,58171.61089
58961.40528,59256.21231
59700.99374,59402.48877
61597.87031,61905.85966
63674.41648,63992.78856
64166.17614,64487.00702
64978.4204,64978.4204
65080.53997,65080.53997
66000.17708,66330.17797
67134.17507,66798.50419
68286.06993,68286.06993
69219.93621,69219.93621
69388.65087,69041.70762
69388.65087,69388.65087
69388.65087,69041.70762
71931.27911,71931.27911
72945.70303,72945.70303
73153.42933,73519.19648
73747.86575,73379.12642
74093.20375,73722.73773
75098.56685,75098.56685
75673.81478,75295.44571
76039.6869,76039.6869
75370.9619,74994.10709
74829.88091,74829.88091
74076.63419,74447.01736
72588.21826,72225.27717
72401.57436,72039.56649
73280.60133,73647.00434
73955.66431,73585.88599
75004.72815,75379.75179
75246.0282,75622.25834
76150.72618,76531.47981
75930.28931,75550.63786
76364.36733,76364.36733
76170.8314,76551.68556
76223.95037,76605.07012
76124.56205,76505.18486
75640.83753,76019.04172
75815.07742,76194.15281
76179.16204,75798.26623
77069.36552,76684.01869
77274.72314,76888.34952
77398.39849,77785.39048
77719.04219,77330.44698
78200.65722,78200.65722
78006.20238,78006.20238
77194.19345,76808.22248
75292.71313,74916.24956
75051.24147,75051.24147
75079.46703,75454.86437
75403.76751,75026.74867
75346.87384,74970.13947
75693.9275,76072.39714
76144.22076,76524.94186
76195.19874,75814.22275
75977.77374,75977.77374
75578.0318,75200.14164
74974.35571,74599.48393
74293.38437,73921.91745
74276.90766,73905.52312
74427.72826,74055.58962
73888.36311,73888.36311
73713.8245,74082.39362
73713.8245,74082.39362
73713.8245,74082.39362
72432.49037,72794.65282
71478.68908,71121.29563
71461.66755,71818.97589
70743.97174,70390.25188
69650.5558,69650.5558
68525.75875,68868.38754
67940.93351,68280.63818
67057.73783,66722.44914
66544.2915,66877.01296
66098.64254,65768.14933
66758.14965,67091.9404
66720.7911,67054.39506
66410.50036,66078.44786
65961.93318,65961.93318
65474.79774,65474.79774
65373.473,65700.34037
64608.13497,64285.0943
64243.57392,63922.35605
63928.43018,64248.07233
63980.98867,64300.89361
63657.79983,63657.79983
63707.91571,64026.45529
63026.20774,63341.33878
63047.5528,62732.31504
62951.35132,62636.59456
63011.97943,62696.91953
62958.62149,63273.4146
63139.04252,62823.34731
63373.4328,63056.56564
63292.99829,63609.46328
64040.49737,64040.49737
64841.62692,65165.83505
66107.78178,66107.78178
67310.19805,66973.64706
68499.24886,68156.75262
68591.25949,68591.25949
68308.97409,67967.42922
68287.35139,68287.35139
68429.27152,68087.12516
68290.87518,68632.32956
68699.60254,69043.10055
67325.30589,67325.30589
66696.12198,66696.12198
66741.23255,66741.23255
66564.41059,66897.23264
65995.39825,65995.39825
65774.69054,65774.69054
65298.53763,65625.03032
65061.75576,65061.75576
65403.84207,65403.84207
64656.60173,64333.31872
64537.45634,64537.45634
63731.29014,64049.94659
62632.03409,62945.19426
61907.24475,61907.24475
59850.97827,59850.97827
59172.80832,58876.94428
59069.91194,58774.56238
60281.45702,60281.45702
60552.46138,60249.69907
62231.07868,61919.92329
62385.27586,62073.34948
63310.68965,63310.68965
63671.40925,63989.7663
63958.93019,64278.72484
64155.65482,64155.65482
64720.34154,64720.34154
64862.12853,64862.12853
65411.71709,65738.77568
66061.44161,66391.74882
66762.33088,66428.51923
67494.04294,67831.51315
68422.42394,68764.53606
69374.75143,69721.62519
70242.76944,70593.98329
70487.45295,70839.89021
70858.16515,70503.87432
69724.28797,69724.28797
69895.78447,69895.78447
70879.76483,70525.36601
71714.07787,72072.64826
72232.57967,72232.57967
73209.86038,72843.81108
73910.80938,73910.80938
75044.3979,74669.17591
74965.36078,74965.36078
74977.43516,74977.43516
74815.23829,74815.23829
74408.54149,74780.5842
74054.70047,74424.97397
74149.69378,74520.44225
73993.3848,73623.41788
73766.34641,73766.34641
73988.65887,73618.71558
74252.57958,74623.84248
73456.01753,73088.73744
73106.61105,72741.07799
72964.42233,73329.24444
72463.69315,72826.01162
72069.82541,71709.47628
71237.82738,70881.63824
69944.11334,69944.11334
69135.67349,68789.99512
67838.59442,67499.40145
67190.24782,67526.19906
67586.71386,67586.71386
68344.86459,68686.58891
68209.04241,68209.04241
68195.27067,67854.29432
67832.24493,67832.24493
67326.60701,66989.97397
67169.3779,66833.53101
67177.46941,67513.35676
66821.08971,66486.98426
66546.75424,66546.75424
66567.80519,66900.64422
66145.33461,66145.33461
65966.16769,65636.33685
65667.53792,65339.20023
65452.98088,65125.71598
65198.38078,64872.38888
65525.52186,65853.14947
65472.9386,65145.57391
65560.82103,65560.82103
65576.05133,65576.05133
65830.86894,65501.7146
66518.53996,66851.13266
67262.03146,67262.03146
67991.48464,67991.48464
69581.02767,69581.02767
70318.94031,70318.94031
69577.36771,69577.36771
69053.11938,68707.85378
68120.24942,67779.64817
67790.77568,68129.72956
66395.80193,66395.80193
66827.48346,67161.62088
64275.84776,63954.46852
63974.9202,63655.0456
63848.14046,63848.14046
63327.88882,63644.52826
63028.59466,63343.73763
62984.49407,62669.5716
62644.32347,62331.10185
62288.52877,61977.08613
61865.551,61865.551
61843.12962,61843.12962
60932.81761,61237.4817
59915.39482,59615.81785
58406.28273,58406.28273
57427.20163,57427.20163
55100.00578,55100.00578
54322.61929,54594.23239
55242.69536,55242.69536
55885.01874,56164.44383
56939.49312,57224.19059
57552.93718,57840.70187
58437.25034,58729.43659
58953.06469,58658.29937
59168.34863,59168.34863
59729.55719,59430.9094
60061.3008,60061.3008
60531.36389,60531.36389
60978.31924,60978.31924
61834.74277,62143.91648
62375.65957,62687.53787
63510.41951,63510.41951
64712.49079,64712.49079
65503.35975,65175.84295
67077.74226,66742.35355
68049.17644,67708.93056
68874.81174,68530.43768
69189.717,68843.76842
68326.76995,68668.4038
69028.88232,69028.88232
69699.39384,69350.89687
70216.64007,70216.64007
70690.46431,70690.46431
71346.73937,71346.73937
72209.75788,72209.75788
72609.31416,72609.31416
72580.37765,72580.37765
72034.67412,72034.67412
72036.57819,72396.76108
71685.38842,71326.96148
71685.38842,71326.96148
71401.07176,71758.07712
70903.402,70548.88499
70903.402,71257.91901
71239.83913,70883.63993
71130.22545,71485.87658
70866.4981,71220.83059
70331.07865,70682.73404
69751.9842,69403.22428
69657.95108,70006.24084
69103.61907,69449.13717
68443.15625,68443.15625
67498.13004,67498.13004
66379.77074,66711.66959
65753.3957,65424.62872
