allbus_p,allbus_forecast_p
1872.017782,1815.857249
1806.488118,1752.293474
1692.969864,1642.180768
1529.232438,1559.817087
1408.701251,1436.875276
1332.844994,1306.188094
1289.597752,1250.909819
1239.933974,1252.333314
1239.933974,1277.131993
1239.933974,1252.333314
1236.611497,1261.343727
1252.994911,1227.935013
1305.273453,1266.115249
1357.716432,1371.293596
1403.267226,1375.201881
1468.094085,1424.051262
1389.213621,1430.89003
1285.417484,1323.980009
1281.902218,1281.902218
1320.171749,1346.575184
1315.491208,1302.336296
1317.6363,1278.107211
1310.614996,1297.508846
1325.497635,1352.007588
1381.795692,1367.977735
1381.795692,1423.249563
1381.795692,1409.431606
1652.160972,1685.204191
1694.77511,1711.722861
1648.587395,1648.587395
1686.779496,1669.911701
1680.780464,1697.588269
1701.301125,1735.327148
1716.05799,1716.05799
1697.043735,1663.10286
1735.303767,1752.656805
1765.94864,1818.927099
1792.130316,1827.972922
1766.229444,1783.891738
1760.992438,1708.162665
1781.472172,1781.472172
1855.417353,1836.863179
1942.884686,1962.313533
1942.884686,1962.313533
1899.557241,1899.557241
1775.179713,1757.427916
1713.717455,1662.305931
1678.928581,1729.296438
1640.226554,1689.433351
1649.008552,1681.988723
1646.639004,1613.706224
1669.018686,1719.089247
1699.641711,1665.648877
1694.205353,1660.321246
1777.282447,1795.055271
1756.44168,1774.006097
1875.676599,1856.919833
1915.537069,1858.070957
1896.694162,1915.661104
1904.095239,1866.013334
1918.780536,1880.404925
1939.615281,1939.615281
1962.694876,2021.575722
1941.934605,1883.676567
1982.15043,1962.328926
1987.174943,2026.918442
1977.658055,2036.987797
1939.366229,1939.366229
1878.595537,1934.953403
1766.364773,1784.028421
1686.117347,1652.395
1673.923225,1623.705528
1688.231243,1654.466618
1687.916615,1738.554113
1736.808061,1702.0719
1793.136064,1775.204703
1848.922469,1793.454795
1848.922469,1830.433244
1962.887534,1962.887534
1986.360826,1926.770001
2039.134485,2079.917175
2017.515133,2057.865436
1993.682473,1993.682473
2022.292731,2042.515658
1950.85939,1950.85939
1849.199245,1812.21526
1829.858883,1811.560294
1781.024125,1798.834366
1717.833431,1752.1901
1690.08456,1639.382023
1622.858724,1639.087311
1520.505714,1535.710771
1446.369659,1417.442266
1298.121387,1337.065029
1226.539383,1251.070171
1155.446907,1132.337969
1146.642358,1112.243087
1097.864963,1130.800912
1069.396423,1069.396423
1067.649392,1099.678874
1027.930915,1017.651606
998.1122337,998.1122337
960.5111451,979.721368
929.757027,929.757027
920.4797812,902.0701856
906.8274639,924.9640132
895.076326,904.0270893
924.8856637,943.383377
921.0383583,921.0383583
916.4594446,907.2948502
937.8921846,928.5132628
998.1096043,988.1285083
1055.119153,1055.119153
1088.454069,1099.33861
1088.174754,1077.293006
1091.963727,1070.124452
1137.609963,1171.738262
1184.358959,1208.046138
1184.118638,1195.959824
1245.536782,1245.536782
1301.20871,1288.196623
1450.377264,1421.369719
1626.275061,1610.01231
1861.952882,1880.572411
2032.048491,2032.048491
2075.318485,2033.812115
2142.431228,2099.582603
2446.290527,2421.827622
2594.195241,2646.079146
2732.028245,2677.38768
2922.299056,3009.968028
3156.52597,3061.830191
3282.558481,3249.732896
3366.560979,3265.56415
3442.82556,3373.969049
3422.117026,3422.117026
3410.71904,3376.61185
3483.619941,3518.45614
3604.244307,3712.371636
3648.063196,3721.02446
3609.938059,3573.838678
3660.005508,3769.805673
3675.706929,3565.435721
3655.419427,3765.08201
3620.228565,3692.633136
3682.402744,3571.930662
3737.67504,3849.805291
3774.301283,3887.530321
3671.43662,3634.722254
3674.869272,3638.120579
3644.540948,3644.540948
3678.983116,3789.352609
3652.980299,3543.39089
3650.121061,3759.624693
3693.987733,3657.047856
3735.728935,3773.086224
3841.990811,3803.570903
3921.735186,4000.16989
4068.525133,3946.469379
4228.306299,4270.589362
4269.709879,4397.801175
4269.709879,4141.618583
4089.182678,4007.399024
4183.844214,4309.35954
4163.532343,4121.89702
